Project,Map modifiedOchiai1.0,MRR modifiedOchiai1.0,Map modifiedOchiai1.1,MRR modifiedOchiai1.1,Map modifiedOchiai2.0,MRR modifiedOchiai2.0,Map modifiedOchiai2.1,MRR modifiedOchiai2.1,Map modifiedOchiai2.2,MRR modifiedOchiai2.2,Map modifiedOchiai3.0,MRR modifiedOchiai3.0,Map modifiedOchiai3.1,MRR modifiedOchiai3.1,Map modifiedOchiai3.1.1,MRR modifiedOchiai3.1.1,Map modifiedOchiai3.1.2,MRR modifiedOchiai3.1.2,Map modifiedOchiai3.1.3,MRR modifiedOchiai3.1.3,Map modifiedOchiai3.1.4,MRR modifiedOchiai3.1.4,Map modifiedOchiai3.1.5,MRR modifiedOchiai3.1.5,Map modifiedOchiai3.1.6,MRR modifiedOchiai3.1.6,Map modifiedOchiai3.1.7,MRR modifiedOchiai3.1.7,Map modifiedOchiai3.1.7woST,MRR modifiedOchiai3.1.7woST,Map modifiedOchiai3.2,MRR modifiedOchiai3.2,Map modifiedOchiai4.0,MRR modifiedOchiai4.0,Map modifiedOchiai4.1,MRR modifiedOchiai4.1,Map modifiedOchiai4.2,MRR modifiedOchiai4.2,Map modifiedOchiai5.0,MRR modifiedOchiai5.0,Map modifiedOchiai5.1,MRR modifiedOchiai5.1,Map originalOchiai,MRR originalOchiai,Map Stack Traces,MRR Stack Traces
Cli,0.07601351351351351,0.07601351351351351,0.07765151515151515,0.07765151515151515,0.17857142857142855,0.17857142857142855,0.19791666666666666,0.19791666666666666,0.06340579710144928,0.06340579710144928,0.06020066889632107,0.06020066889632107,0.12631578947368421,0.12631578947368421,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6,0.6,0.55,0.55,0.6,0.6,0.6,0.6,0.13333333333333333,0.13333333333333333,0.12631578947368421,0.12631578947368421,0.1839080459770115,0.1839080459770115,0.19298245614035087,0.19298245614035087,0.19298245614035087,0.19298245614035087,0.3333333333333333,0.3333333333333333,0.6,0.6,0.00452114323917767,0.00452114323917767,0.6,0.6
Closure,0.009825250468649372,0.016292787498226238,0.009825019226974072,0.01629232501487564,0.00037243714860859785,0.0004819322254646373,0.0003953705480023654,0.0005016802926441126,0.12535728814880118,0.12564131527055009,0.0003766584516412785,0.0005841533949174305,0.00040932021487635707,0.0006153801618593122,0.14619907840936797,0.16720455805763662,0.14619907840936797,0.16720455805763662,0.14619907840936797,0.16720455805763662,0.14617528891965298,0.16712496263327464,0.1461889494518573,0.1673047441156461,0.12901303334257497,0.1327955414778618,0.1461750075341573,0.16712425554299923,0.00031116469787878027,0.0004551875251546867,0.0005123897814742664,0.0007629407998715849,0.14082829409253456,0.15647148206823225,0.01595445924107516,0.03160269756266722,0.016007004736630037,0.0316290795278794,0.009829868332880137,0.016291788600374724,0.1267399256434729,0.21895838342135007,0.0006957798802625623,0.001205424374797247,0.17100694444444445,0.2170138888888889
Codec,0.33476628634523375,1.0,0.33476628634523375,1.0,0.3009385351490615,0.3333333333333333,0.3009385351490615,0.3333333333333333,0.3009385351490615,0.3333333333333333,0.34645135566188195,0.3333333333333333,0.35725806451612907,1.0,0.551305683563748,1.0,0.551305683563748,1.0,0.551305683563748,1.0,0.5853333333333334,1.0,0.5214513556618819,1.0,0.582258064516129,1.0,0.5853333333333334,1.0,0.38933333333333336,1.0,0.35725806451612907,1.0,0.34645135566188195,0.3333333333333333,0.34645135566188195,0.3333333333333333,0.34645135566188195,0.3333333333333333,0.4161538461538461,1.0,0.6071428571428571,1.0,,,0.3333333333333333,1.0
Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0
Compress,0.14624971154875252,0.1442414375646721,0.15239759190756075,0.15039660376526823,0.24840901954394284,0.3071012321012321,0.24840901954394284,0.3071012321012321,0.11654121414672568,0.17523342670401496,0.09510977362036784,0.1538019861776571,0.14964347349578808,0.20833568605307737,0.3633849797413627,0.3917748917748918,0.3633849797413627,0.3917748917748918,0.3633849797413627,0.3917748917748918,0.40969292081214964,0.4380828328456788,0.332661074017457,0.36105098605098607,0.3873420832439207,0.4157319952774498,0.4620345186082929,0.49042443064182195,0.14040746097030185,0.15869563312355073,0.14770790906022366,0.2064001216175129,0.1331742875510165,0.19052457615130516,0.13523373680582362,0.192952451306453,0.13502022482760576,0.19273893932823513,0.08482434945918414,0.08484381283235973,0.26304846759392214,0.2656237701692247,0.007935566677269783,0.022986004342784163,0.4122257053291536,0.44252873563218387
Csv,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.3333333333333333,0.3333333333333333
Gson,0.00048449612403100775,0.00048449612403100775,0.00048449612403100775,0.00048449612403100775,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.34313725490196073,0.34313725490196073,0.34313725490196073,0.34313725490196073,0.34313725490196073,0.34313725490196073,0.3395061728395062,0.3395061728395062,0.34375,0.34375,0.3365695792880259,0.3365695792880259,0.51010101010101,0.51010101010101,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3349358974358974,0.3349358974358974,,,0.5196078431372549,0.5196078431372549
JacksonCore,0.07378353703952666,0.09037749567643254,0.07378353703952666,0.09037749567643254,0.029320604313652136,0.04776385931279617,0.029320604313652136,0.04776385931279617,0.023403709309982257,0.025150222949159803,0.021064189563053233,0.03021287959076381,0.027314759213893564,0.039086874532870214,0.1497621431896098,0.1592888471177945,0.1497621431896098,0.1592888471177945,0.1497621431896098,0.1592888471177945,0.1608524244967637,0.16340093729799612,0.27010276348675677,0.2763690476190476,0.16868756697795467,0.17113095238095238,0.1608524244967637,0.16340093729799612,0.04094848466590985,0.045734638533575386,0.028894662338735968,0.03826988106881793,0.04486397108538624,0.04577522294915981,0.03744840774877027,0.043308117686001915,0.04154055838697354,0.042054984853921715,0.04600772079292228,0.059027777777777776,0.13008185012561427,0.14039239482200647,0.06928235307393699,0.08358159549817941,0.25,0.25
JacksonDatabind,0.0011010184632055506,0.0036827916912351207,0.0010976208364916478,0.003681316069787744,0.0028861283408984804,0.005352207566198675,0.019638541266330817,0.032823866632035015,0.022169206163444928,0.04407619249697232,0.026202670367800253,0.05199537580506375,0.012699000408211602,0.018840547320564928,0.028092467175874818,0.060083165244803144,0.028092467175874818,0.060083165244803144,0.027759564539459665,0.05367290883454674,0.027620604664925108,0.06124468410450416,0.034294182315110715,0.0656845893628561,0.024152316489913585,0.05379457249088267,0.035868213894023095,0.07771527882150443,0.012473997321401602,0.021279610841794767,0.011053725633610626,0.015586900405424858,0.0236270144657932,0.04688503254141038,0.02513334460919319,0.05107812043967254,0.024708601143198193,0.04868403665042626,0.0010374208938669605,0.0036231294675745924,0.02016353531439843,0.04103765041604102,0.0004868365701363508,0.0005168795214529305,0.16858974358974357,0.2446428571428572
Jsoup,0.0011466638902841004,0.0013349169023322933,0.0011466638902841004,0.0013349169023322933,0.0014361913544959242,0.002383161051465621,0.0014361913544959242,0.002383161051465621,0.008301721657526228,0.01611422165752623,0.010905888324192894,0.02132255499085956,0.023987063668693843,0.032915635097265264,0.15604418786775046,0.17687752120108377,0.15604418786775046,0.17687752120108377,0.15604418786775046,0.17687752120108377,0.15530999535017032,0.17614332868350363,0.15649905595237631,0.17212405595237631,0.1576910015060895,0.17852433483942282,0.4070461064612814,0.4278794397946148,0.021392796248934354,0.03180946291560102,0.05105651648583337,0.055864208793525674,0.06368789813508346,0.06393789813508347,0.043033047325209225,0.04332374499962783,0.0016468244716601197,0.0019375221460787243,0.0007673937748878365,0.0009651785850144188,0.042894119147882534,0.0431743882061785,0.0,0.0,0.4409722222222222,0.4444444444444444
